"STATION","NAME","DATE","ACSH","PRCP","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-22","  100","0.04","23","17",,"    1",,,"    1",,"    1",,,,,,,,,"    1",,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-23","   40","0.00","52","17",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-24","   10","0.00","68","30",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-25","    0","0.00","62","34",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-26","   20","0.00","64","31",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-27","  100","0.20","68","33",,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-28","   90","0.10","48","32",,,,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-29","    0","0.00","53","23",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-01","   90","0.00","61","29",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-02","  100","0.00","61","32",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-03","   60","0.00","45","25",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-04","   80","0.00","58","23",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-05","  100","0.25","51","38",,,,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-06","  100","0.08","53","41",,"    1","    1",,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-07","  100","0.00","62","41",,"    1","    1",,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-08","  100","0.07","65","40",,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-09","   30","0.00","68","39",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-10","  100","0.27","44","36",,"    1","    1",,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-11","  100","0.20","36","25",,"    1","    1",,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-12","   10","0.00","48","21",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-13","   90","0.00","63","31",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-14","  100","0.00","73","33",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-15","   10","0.00","66","36",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-16","  100","0.00","65","34",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-17","  100","0.00","69","46",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-18","  100","0.10","64","46",,"    1",,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-19","   40","0.33","62","39",,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-20","  100","1.42","44","26",,,,"    1",,,,,,,,,,,,"    1",,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-21","   70","0.00","39","24",,,,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-22","   40","0.00","48","27",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-03-23","   10","0.00","62","28",,,,,,,,,,,,,,,,,,,,,
